YEAR,SERIAL,REGION,NFAMS,PERNUM,RACE,AGE,SEX,EMPSTAT,OCC,UHRSWORKT,WKSTAT,JOBCERT,EDUC,INCWAGE,OINCWAGE
2011,1228,11,1,1,100,52,2,36,0,999,99,,81,0.0,0.0
2021,52793,32,1,1,100,26,2,34,0,999,99,,73,0.0,0.0
2021,30405,21,1,1,100,39,1,10,8990,40,12,99.0,81,,
2021,16407,31,1,2,100,29,1,10,5940,40,11,99.0,73,,
2014,85711,31,1,1,200,49,1,10,2160,40,11,,111,0.0,0.0
2020,10089,41,1,2,100,40,2,10,3602,31,41,99.0,111,,
2019,47735,31,2,1,100,26,2,34,0,999,99,,73,0.0,0.0
2011,53187,31,1,1,200,71,2,36,0,999,99,,50,0.0,0.0
2020,36433,31,1,7,100,11,2,0,0,999,99,,1,99999999.0,99999999.0
2020,31027,21,1,1,802,53,1,10,3870,40,11,2.0,92,,
2020,16523,21,1,3,100,10,1,0,0,999,99,,1,99999999.0,99999999.0
2020,16254,31,1,2,100,85,2,34,0,999,99,99.0,73,,
2018,9565,12,1,7,100,7,1,0,0,999,99,,1,99999999.0,99999999.0
2020,26437,33,2,2,100,13,2,0,0,999,99,99.0,1,,
2011,88826,42,1,2,651,34,2,10,800,40,11,,111,35000.0,0.0
2015,88679,42,1,1,100,39,1,10,4220,997,11,,30,33000.0,0.0
2017,11566,12,1,1,200,80,2,36,0,999,99,,81,0.0,0.0
2021,36901,22,1,1,100,43,2,10,4600,40,11,99.0,81,,
2015,26815,21,1,3,100,4,1,0,0,999,99,,1,99999999.0,99999999.0
2022,4907,42,1,3,651,20,1,10,4020,30,41,99.0,81,,
2022,39195,12,1,1,100,66,2,10,9640,40,11,99.0,71,,
2021,3068,41,1,5,100,13,2,0,0,999,99,99.0,1,,
2019,58997,33,1,2,100,73,2,36,0,999,99,,111,0.0,0.0
2009,96418,42,1,1,651,38,1,10,1220,55,11,,111,50000.0,0.0
2009,7326,11,1,1,100,44,1,21,8750,999,50,,73,6000.0,0.0
2020,46188,22,1,3,300,1,2,0,0,999,99,99.0,1,,
2009,88037,42,1,4,100,58,2,34,0,999,99,,73,0.0,0.0
2012,6738,11,1,4,100,3,1,0,0,999,99,,1,99999999.0,99999999.0
2021,65346,31,1,3,100,5,1,0,0,999,99,99.0,1,,
2021,62616,31,1,1,100,80,1,36,0,999,99,99.0,111,,
2021,14446,31,1,4,200,4,2,0,0,999,99,99.0,1,,
2021,43488,12,1,5,200,55,2,10,2360,40,11,99.0,123,,
2021,4081,33,1,2,100,58,1,10,1106,40,11,99.0,81,,
2017,87520,42,1,3,100,17,2,34,0,999,99,,30,0.0,0.0
2016,33802,31,1,6,200,11,1,0,0,999,99,,1,99999999.0,99999999.0
2020,66376,31,1,2,100,58,2,32,0,999,99,99.0,123,,
2016,21523,21,1,4,100,55,1,10,1350,40,11,,91,74000.0,0.0
2021,10293,11,1,1,651,28,2,10,845,60,11,99.0,111,,
2021,51880,12,1,2,100,42,1,10,6305,45,11,2.0,73,,
2022,21208,21,1,3,100,25,2,10,800,40,11,99.0,111,,
2019,16501,31,1,1,100,30,1,10,220,40,11,99.0,73,,
2020,5511,42,1,4,100,6,1,0,0,999,99,99.0,1,,
2020,19065,42,1,4,803,23,2,10,5860,40,11,99.0,111,,
2021,17685,31,1,2,100,41,1,10,6260,40,11,99.0,20,,
2020,34700,22,1,1,100,41,2,34,0,999,99,99.0,81,,
2021,68258,41,1,2,100,64,2,36,0,999,99,99.0,81,,
2022,24907,32,1,2,100,5,2,0,0,999,99,99.0,1,,
2021,19804,41,1,1,100,48,2,12,2330,40,13,99.0,123,,
2022,377,32,1,3,100,18,1,34,6260,999,99,99.0,71,,
2019,72614,41,1,6,100,8,2,0,0,999,99,,1,99999999.0,99999999.0
2020,56110,22,1,4,100,19,2,10,4720,20,41,99.0,81,,
2010,38558,22,1,3,100,17,1,34,0,999,99,,50,400.0,0.0
2020,66229,31,1,3,100,15,2,34,0,999,99,99.0,30,,
2014,11779,12,1,2,100,53,2,10,360,45,11,,123,100000.0,0.0
2014,91694,41,1,1,100,64,2,36,0,999,99,,92,0.0,0.0
2021,67640,21,1,5,100,10,1,0,0,999,99,99.0,1,,
2022,61696,11,1,2,100,52,2,10,2145,50,11,2.0,92,,
2021,34815,22,1,2,100,61,1,10,6210,40,11,2.0,73,,
2021,21474,21,1,4,100,10,1,0,0,999,99,99.0,1,,
2020,70176,41,1,1,100,55,1,34,0,999,99,99.0,81,,
2019,58170,32,1,3,100,72,2,36,0,999,99,,73,0.0,0.0
2012,29350,21,1,1,100,62,2,10,5240,45,11,,111,52000.0,0.0
2021,59780,33,1,2,100,53,2,10,4760,43,11,99.0,111,,
2020,40378,41,1,2,100,60,2,10,735,40,11,99.0,111,,
2009,67528,33,1,2,100,26,1,10,710,70,11,,81,100000.0,0.0
2015,34157,22,2,7,100,23,1,34,0,999,99,,73,24000.0,0.0
2020,14802,31,1,2,100,77,1,36,0,999,99,99.0,73,,
2010,47157,31,1,1,100,79,2,36,0,999,99,,60,0.0,0.0
2021,1548,42,1,2,300,63,1,10,5240,40,11,99.0,111,,
2018,83945,42,1,1,100,50,2,10,4200,40,11,,81,0.0,0.0
2017,25658,22,1,1,100,60,1,34,0,999,99,,81,0.0,0.0
2014,87368,32,1,5,200,8,2,0,0,999,99,,1,99999999.0,99999999.0
2021,48034,21,1,3,100,21,2,21,2555,999,50,99.0,81,,
2018,86152,42,1,2,200,35,1,21,9130,999,50,,71,95000.0,0.0
2020,61259,41,1,1,100,60,2,34,0,999,99,99.0,92,,
2017,32473,22,1,2,100,48,2,10,230,997,11,,123,65000.0,0.0
2019,37128,22,1,1,100,40,2,10,430,45,11,99.0,123,,
2017,44080,31,1,1,200,45,1,10,4920,997,11,,111,80000.0,45000.0
2020,33559,31,1,2,100,30,2,10,5740,8,41,,123,30000.0,0.0
2020,14509,31,1,5,651,24,1,10,6442,40,11,99.0,73,,
2014,43984,32,1,2,100,76,1,36,0,999,99,,81,0.0,0.0
2020,44227,31,1,1,100,69,1,12,1105,20,42,99.0,81,,
2013,2790,11,1,5,100,9,1,0,0,999,99,,1,99999999.0,99999999.0
2021,26428,33,1,3,100,4,2,0,0,999,99,99.0,1,,
2010,75837,41,1,1,100,65,2,36,0,999,99,,91,0.0,0.0
2020,27000,33,1,2,100,27,1,10,3323,40,11,2.0,111,,
2016,41497,31,1,2,100,32,1,10,9130,45,11,,30,21600.0,0.0
2020,28153,22,1,7,100,6,1,0,0,999,99,,1,99999999.0,99999999.0
2020,6357,42,1,2,100,45,1,10,1545,40,11,2.0,92,,
2022,44680,31,1,1,100,62,1,10,3255,40,11,99.0,111,,
2021,5641,42,1,2,200,1,2,0,0,999,99,99.0,1,,
2022,67118,21,1,4,100,17,2,10,4720,6,41,99.0,71,,
2021,63650,42,1,1,651,44,2,10,2205,20,41,2.0,125,,
2011,66616,33,1,2,100,28,2,10,3600,40,11,,92,23000.0,0.0
2014,20974,22,1,4,100,38,2,10,5700,40,11,,81,28000.0,0.0
2020,2520,41,1,1,100,54,2,10,5410,40,12,1.0,111,,
2013,48455,31,1,2,100,38,2,10,50,997,11,,111,60000.0,35000.0
2021,30342,21,1,3,651,24,2,10,2360,38,11,99.0,123,,
2020,50434,42,1,4,100,10,2,0,0,999,99,99.0,1,,
2009,38330,22,1,1,300,41,2,21,5100,999,60,,81,2415.0,1855.0
2010,93169,42,1,1,651,62,2,10,3130,16,41,,111,50000.0,0.0
2019,22796,21,1,1,100,48,2,34,0,999,99,,92,0.0,0.0
2010,38177,22,1,4,100,8,1,0,0,999,99,,1,99999999.0,99999999.0
2020,41911,12,2,1,200,29,2,10,2014,48,11,99.0,111,,
2020,3070,41,2,1,100,34,1,10,5820,40,11,2.0,111,,
2020,33685,32,1,4,100,14,1,0,0,999,99,99.0,1,,
2020,42349,12,1,7,651,19,1,10,4521,15,41,2.0,73,,
2020,27689,11,1,1,100,80,2,36,0,999,99,99.0,73,,
2020,8211,42,1,1,100,59,1,10,4400,38,11,99.0,81,,
2022,40844,41,1,2,100,19,1,10,9130,40,11,99.0,60,,
2020,50754,42,1,1,100,48,1,10,1305,50,11,2.0,123,,
2020,21989,21,1,4,100,16,1,34,0,999,99,99.0,60,,
2020,14511,31,1,2,100,73,2,34,0,999,99,99.0,91,,
2021,45323,22,1,2,100,61,1,10,440,40,11,99.0,60,,
2020,23528,21,1,2,100,28,1,10,440,20,41,99.0,111,,
2020,58677,33,1,4,100,18,1,10,4251,24,41,99.0,81,,
2016,77021,41,1,4,100,6,1,0,0,999,99,,1,99999999.0,99999999.0
2020,1350,32,1,1,200,36,1,32,0,999,99,99.0,111,,
2021,24295,22,1,1,100,85,2,36,0,999,99,99.0,73,,
2021,24631,22,1,2,100,75,2,36,0,999,99,99.0,73,,
2021,11449,31,1,4,100,4,2,0,0,999,99,99.0,1,,
2020,51445,42,1,5,100,38,1,10,9620,40,11,99.0,73,,
2021,55848,32,1,3,100,2,1,0,0,999,99,99.0,1,,
2020,1866,42,1,4,100,9,2,0,0,999,99,99.0,1,,
2021,16886,31,1,2,100,75,2,36,0,999,99,99.0,73,,
2018,63484,33,1,3,100,15,2,34,0,999,99,,30,0.0,0.0
2021,46687,22,1,1,100,51,2,12,440,41,13,99.0,111,,
2020,60355,33,1,4,100,6,1,0,0,999,99,99.0,1,,
2022,22306,21,1,3,100,6,1,0,0,999,99,99.0,1,,
2021,43563,12,1,2,100,54,2,10,350,40,11,99.0,111,,
2022,25192,32,1,2,100,73,2,36,0,999,99,99.0,50,,
2015,42955,31,1,4,100,12,1,0,0,999,99,,1,99999999.0,99999999.0
2021,57900,33,1,1,100,68,1,36,0,999,99,99.0,123,,
2018,47271,31,2,1,100,40,2,10,5860,45,11,,91,30000.0,0.0
2014,36701,31,1,1,651,24,2,34,0,999,99,,111,0.0,0.0
2021,1755,42,5,3,100,9,1,0,0,999,99,99.0,1,,
2021,15523,31,1,1,200,63,1,36,0,999,99,99.0,91,,
2013,8198,11,1,3,100,12,1,0,0,999,99,,1,99999999.0,99999999.0
2020,22734,21,1,1,100,63,1,36,0,999,99,99.0,81,,
2019,19040,21,1,2,200,42,1,34,0,999,99,,73,9600.0,0.0
2022,31940,22,1,3,100,9,1,0,0,999,99,99.0,1,,
2021,58676,33,1,3,100,12,2,0,0,999,99,99.0,1,,
2009,12517,12,1,4,100,10,2,0,0,999,99,,1,99999999.0,99999999.0
2012,8974,11,2,3,651,10,2,0,0,999,99,,1,99999999.0,99999999.0
2020,36007,41,3,2,100,24,2,10,5400,50,11,99.0,81,,
2019,22148,21,1,1,200,67,1,21,2700,999,60,1.0,124,,
2021,14774,31,1,1,100,52,1,10,5600,25,22,99.0,81,,
2013,16631,12,1,3,100,6,2,0,0,999,99,,1,99999999.0,99999999.0
2020,42513,12,1,2,200,22,1,10,3602,40,11,99.0,81,,
2020,11849,12,1,2,651,53,1,10,1720,40,11,,111,180000.0,0.0
2021,28143,31,1,3,200,29,1,34,0,999,99,99.0,111,,
2020,2348,41,1,3,811,19,2,34,0,999,99,99.0,81,,
2021,28730,11,1,3,200,23,2,21,440,999,50,99.0,73,,
2020,62054,33,1,4,100,3,1,0,0,999,99,,1,99999999.0,99999999.0
2010,51737,31,1,2,200,26,1,10,6260,997,11,,91,0.0,0.0
2020,3287,41,1,2,100,80,2,36,0,999,99,99.0,81,,
2015,62739,32,1,1,200,30,1,10,9600,40,11,,73,36000.0,0.0
2020,44161,12,1,1,100,71,1,36,0,999,99,99.0,73,,
2021,50669,12,1,1,100,67,2,36,0,999,99,99.0,73,,
2013,82174,41,1,3,100,16,1,34,0,999,99,,50,2980.0,0.0
2021,63830,42,1,1,100,48,1,10,310,40,11,2.0,40,,
2014,39519,31,1,1,100,47,1,10,6355,60,21,,73,20000.0,0.0
2020,66809,31,1,1,100,73,1,36,0,999,99,99.0,73,,
2015,85707,42,1,2,100,28,2,10,3645,40,11,,81,29000.0,0.0
2018,90595,42,1,4,100,6,1,0,0,999,99,,1,99999999.0,99999999.0
2022,31868,22,1,3,802,8,2,0,0,999,99,99.0,1,,
2021,42585,31,1,4,200,5,1,0,0,999,99,,1,99999999.0,99999999.0
2013,53207,31,1,1,651,55,1,10,220,40,11,,123,150000.0,0.0
2018,75820,41,1,1,100,31,1,10,4250,40,11,,10,40000.0,0.0
2009,73778,41,1,2,100,51,1,10,6260,40,11,,73,70000.0,0.0
2020,28731,31,1,3,100,31,2,10,705,40,11,99.0,111,,
2020,14127,31,1,1,100,45,2,10,4965,40,11,99.0,91,,
2010,5629,11,1,1,100,55,2,10,5700,40,11,,81,38000.0,0.0
2020,32878,32,2,1,200,61,2,34,0,999,99,99.0,73,,
2020,56155,32,1,5,100,13,1,0,0,999,99,99.0,1,,
2021,64879,31,1,1,100,66,2,36,0,999,99,99.0,111,,
2021,56696,32,1,1,100,44,2,21,8140,999,50,99.0,73,,
2022,26415,33,1,2,200,31,1,21,4000,999,50,99.0,73,,
2011,17876,12,1,1,100,37,1,10,3220,56,11,,91,40000.0,0.0
2021,57101,33,1,2,100,7,2,0,0,999,99,99.0,1,,
2021,64436,42,1,3,651,20,1,10,9640,40,11,99.0,73,,
2020,64022,31,1,1,100,29,1,10,700,40,11,99.0,81,,
2019,27865,11,1,2,100,65,2,36,0,999,99,99.0,123,,
2017,91537,42,1,2,100,80,2,36,0,999,99,,92,0.0,0.0
2014,26667,22,1,1,100,38,1,10,2100,997,11,,124,88000.0,0.0
2014,1739,11,1,3,100,7,1,0,0,999,99,,1,99999999.0,99999999.0
2022,64155,42,1,2,100,36,1,10,1021,45,11,1.0,91,,
2021,19788,41,1,2,100,51,1,12,6260,50,13,99.0,81,,
2021,22860,22,1,1,100,30,1,10,9620,36,11,99.0,81,,
2022,31731,22,1,1,100,29,1,12,4251,40,13,99.0,81,,
2020,24264,22,1,2,100,30,2,10,4010,35,11,99.0,73,,
2020,20010,41,1,2,100,78,2,36,0,999,99,99.0,92,,
2020,70419,41,1,2,100,56,2,12,9620,40,13,99.0,73,,
2021,55883,32,1,3,100,7,1,0,0,999,99,99.0,1,,
2021,3621,33,1,1,100,60,2,10,2100,40,11,2.0,124,,
2012,48504,31,1,1,100,57,2,10,350,74,11,,123,170000.0,0.0
2019,16237,31,1,1,200,39,2,10,4760,40,11,99.0,60,,
2022,45130,31,1,4,100,14,1,0,0,999,99,99.0,1,,
2022,66103,31,1,4,100,7,2,0,0,999,99,99.0,1,,
2013,12962,12,1,2,651,36,2,10,1006,997,11,,111,61500.0,1500.0
2020,55653,31,1,2,200,48,2,10,5730,40,11,99.0,73,,
2015,80920,41,1,8,300,4,1,0,0,999,99,,1,99999999.0,99999999.0
2020,4119,33,1,2,100,63,1,36,0,999,99,99.0,125,,
2021,78250,42,1,1,100,85,2,36,0,999,99,,91,0.0,0.0
2020,50244,32,1,2,100,31,2,10,3421,19,41,,111,0.0,0.0
2020,50314,42,1,1,100,65,1,36,0,999,99,99.0,125,,
2021,9848,12,1,2,100,41,1,10,1530,40,11,,123,120000.0,0.0
2021,19258,41,3,7,100,17,1,10,9645,997,41,99.0,50,,
2021,58207,33,1,1,100,54,1,10,4220,40,11,99.0,81,,
2019,42985,31,1,1,100,30,2,10,3400,40,11,,91,30000.0,0.0
2016,59435,33,1,1,100,28,1,10,9130,20,22,,81,30000.0,0.0
2020,23952,22,1,8,100,17,1,34,0,999,99,99.0,40,,
2021,7529,42,1,1,100,50,1,10,230,55,11,2.0,123,,
2020,70699,41,1,3,100,16,1,34,0,999,99,,30,0.0,0.0
2021,5080,11,1,2,100,19,1,21,7220,999,60,,81,0.0,0.0
2009,40718,22,1,2,100,31,2,10,5240,997,41,,111,10000.0,0.0
2018,52591,32,1,5,100,5,2,0,0,999,99,,1,99999999.0,99999999.0
2021,86423,42,1,1,651,75,1,36,0,999,99,,20,0.0,0.0
2021,12541,31,2,1,200,67,1,36,0,999,99,99.0,111,,
2021,64318,42,1,1,651,33,1,10,5120,40,11,99.0,91,,
2017,37410,31,1,2,100,40,2,10,2630,40,11,,111,0.0,0.0
2010,70668,33,1,3,100,4,1,0,0,999,99,,1,99999999.0,99999999.0
2010,77701,41,1,1,100,57,2,34,0,999,99,,73,0.0,0.0
2021,58378,33,1,1,100,41,2,34,0,999,99,99.0,60,,
2021,62576,31,1,1,200,26,1,10,9130,40,11,99.0,73,,
2021,61955,31,1,1,200,80,2,36,0,999,99,99.0,60,,
2021,33903,32,1,3,200,51,1,10,9610,997,41,99.0,73,,
2011,63085,32,1,2,200,24,1,10,4250,40,11,,73,12000.0,0.0
2014,21706,22,1,3,651,20,1,34,0,999,99,,73,0.0,0.0
2017,82826,42,1,1,100,38,1,10,1300,45,11,,123,115000.0,0.0
2017,87649,42,1,2,100,59,2,10,2100,40,11,,111,75000.0,0.0
2019,10264,41,1,3,100,6,1,0,0,999,99,99.0,1,,
2018,87159,42,1,2,100,36,2,10,2340,25,22,,111,9000.0,0.0
2019,9900,12,1,1,100,35,1,10,430,40,11,,111,72000.0,0.0
2020,19679,41,1,7,100,13,2,0,0,999,99,99.0,1,,
2021,12165,31,1,1,200,43,1,34,0,999,99,99.0,73,,
2020,9361,42,1,2,100,54,1,10,5020,40,11,99.0,73,,
2012,77421,41,1,5,100,2,1,0,0,999,99,,1,99999999.0,99999999.0
2020,18845,42,1,2,100,51,1,10,3402,48,11,2.0,92,,
2021,19237,41,1,1,100,58,2,10,60,40,11,99.0,111,,
2013,83586,41,1,1,100,60,2,10,2016,40,11,,111,18700.0,0.0
2020,47525,22,1,1,100,70,2,10,2555,5,41,2.0,123,,
2021,32973,32,1,3,200,25,2,10,5730,40,11,2.0,111,,
2020,3889,33,1,3,100,2,2,0,0,999,99,99.0,1,,
2021,4286,33,1,2,100,70,2,36,0,999,99,99.0,73,,
2021,40653,41,1,2,300,72,1,10,8750,20,41,99.0,10,,
2019,52532,12,1,1,100,76,1,36,0,999,99,99.0,123,,
2012,71278,33,1,1,100,36,2,34,0,999,99,,30,0.0,0.0
2020,28021,31,1,3,200,15,2,34,0,999,99,99.0,40,,
2020,62942,31,1,1,100,59,1,36,0,999,99,99.0,50,,
2021,25088,32,1,1,100,80,1,36,0,999,99,99.0,81,,
2017,56602,32,1,2,651,37,2,10,7700,40,11,,111,40000.0,0.0
2020,14968,31,1,1,200,70,1,36,0,999,99,99.0,73,,
2021,30712,21,1,1,100,50,1,10,845,40,11,99.0,111,,
2020,40239,12,1,2,100,79,2,36,0,999,99,99.0,50,,
2010,52053,31,1,1,200,41,2,10,4510,997,22,,91,5000.0,0.0
2020,1664,42,1,1,100,51,2,12,340,997,13,99.0,111,,
2009,61146,32,1,4,100,14,1,0,0,999,99,,1,99999999.0,99999999.0
2015,9292,12,1,2,100,6,2,0,0,999,99,,1,99999999.0,99999999.0
2020,17404,21,1,1,801,55,2,32,0,999,99,,73,0.0,0.0
2020,59048,33,1,3,100,7,1,0,0,999,99,99.0,1,,
2014,72617,12,1,1,100,63,2,10,5700,47,11,,73,62000.0,5000.0
2021,43828,12,1,2,100,49,2,34,0,999,99,99.0,111,,
2012,18890,12,3,2,100,22,1,10,2200,40,11,,111,13500.0,4500.0
2021,85174,42,1,2,100,44,2,34,3602,999,99,,10,26500.0,0.0
2016,41202,31,1,1,100,64,2,36,0,999,99,,10,0.0,0.0
2018,68009,41,1,3,100,14,1,0,0,999,99,,1,99999999.0,99999999.0
2017,66890,33,1,4,100,17,1,34,0,999,99,,40,0.0,0.0
2012,94992,42,1,3,100,12,1,0,0,999,99,,1,99999999.0,99999999.0
2015,6733,11,1,1,100,42,2,10,800,30,41,,111,58000.0,0.0
2020,46492,22,1,5,651,28,2,10,3050,40,11,99.0,81,,
2021,51692,12,1,1,100,51,1,10,735,50,11,99.0,111,,
2021,58486,33,1,1,100,40,2,34,0,999,99,99.0,71,,
2015,28620,22,1,7,300,19,2,10,4720,40,11,,60,6000.0,0.0
2011,74032,41,1,4,100,1,2,0,0,999,99,,1,99999999.0,99999999.0
2011,71640,33,1,1,100,45,1,10,5700,40,11,,111,57000.0,0.0
2021,27544,22,1,1,100,27,2,10,310,25,41,,81,40000.0,0.0
2015,88124,42,1,4,100,9,1,0,0,999,99,,1,99999999.0,99999999.0
2021,54849,22,1,2,100,79,1,36,0,999,99,99.0,73,,
2018,80622,42,1,4,652,2,2,0,0,999,99,,1,99999999.0,99999999.0
2021,64247,42,1,1,100,64,1,10,5120,997,41,2.0,81,,
2022,48780,33,1,3,100,16,2,34,0,999,99,99.0,50,,
2011,53159,31,1,4,100,17,2,34,0,999,99,,60,0.0,0.0
2020,88660,42,1,4,100,6,2,0,0,999,99,,1,99999999.0,99999999.0
2017,71119,41,1,4,100,8,2,0,0,999,99,,1,99999999.0,99999999.0
2015,38909,31,1,2,100,13,1,0,0,999,99,,1,99999999.0,99999999.0
2021,46556,22,1,1,100,37,2,10,4020,36,11,99.0,73,,
2011,93280,42,1,2,651,42,1,10,1020,50,11,,111,100000.0,0.0
2021,35720,41,1,4,100,19,1,10,9610,10,41,99.0,73,,
2022,26420,33,1,1,200,58,2,10,440,45,11,1.0,81,,
2017,61415,33,1,1,100,36,1,10,8965,40,11,,73,130000.0,0.0
2014,16005,21,1,1,100,23,2,34,0,999,99,,40,4000.0,0.0
2021,36172,22,1,5,100,14,1,0,0,999,99,99.0,1,,
2021,46837,22,1,1,300,57,2,10,5740,40,11,99.0,81,,
2017,42505,31,1,1,200,54,2,36,0,999,99,,73,0.0,0.0
2009,55484,31,1,1,200,48,1,10,6230,40,11,,73,0.0,0.0
2020,28791,11,1,6,100,14,1,0,0,999,99,99.0,1,,
2021,19239,41,1,2,100,72,1,36,0,999,99,99.0,81,,
2021,51458,12,1,3,100,4,2,0,0,999,99,99.0,1,,
2021,565,32,1,1,100,57,2,36,0,999,99,99.0,111,,
2021,5765,42,1,4,651,3,2,0,0,999,99,99.0,1,,
2020,28661,31,1,4,100,18,1,10,7260,24,41,99.0,73,,
2021,52622,31,1,7,100,33,2,10,5510,40,11,99.0,81,,
2021,56726,33,1,1,100,61,1,36,0,999,99,,40,0.0,0.0
2018,76771,41,1,2,100,27,2,10,2330,40,11,,111,29000.0,0.0
2021,42719,12,1,2,100,37,2,10,2330,40,11,2.0,111,,
2021,21427,21,1,1,100,52,1,10,9130,84,11,2.0,81,,
2021,20046,21,1,1,200,42,1,10,3090,60,11,2.0,124,,
2010,57433,31,1,1,806,77,2,10,4720,50,11,,73,5000.0,0.0
2014,5104,11,1,2,100,14,2,0,0,999,99,,1,99999999.0,99999999.0
2018,84748,42,1,1,100,34,2,10,5000,40,12,,81,55000.0,0.0
2014,35721,31,1,2,200,36,1,34,0,999,99,,73,64000.0,0.0
2020,54215,31,1,2,100,65,2,36,0,999,99,99.0,50,,
2020,44333,31,1,3,100,73,2,36,0,999,99,99.0,73,,
2020,34720,22,1,1,100,68,1,36,0,999,99,99.0,111,,
2019,87249,42,1,2,803,51,1,10,2100,50,12,,125,0.0,0.0
2013,67044,33,1,1,100,48,2,36,0,999,99,,73,0.0,0.0
2020,32755,32,1,1,100,77,1,10,205,20,41,99.0,73,,
2017,38859,31,1,2,803,18,1,34,0,999,99,,60,3000.0,2000.0
2021,37870,41,1,3,651,14,2,0,0,999,99,99.0,1,,
2020,23265,21,1,2,100,39,2,10,4220,20,41,,73,15000.0,0.0
2021,32117,22,1,2,100,40,2,12,630,50,13,2.0,111,,
2011,15497,12,1,3,100,23,1,10,4110,6,41,,81,4500.0,0.0
2011,55258,31,1,1,200,55,2,10,3710,40,11,,91,16900.0,0.0
2020,7795,12,1,3,200,19,2,10,4760,20,22,,73,0.0,0.0
2021,48964,33,1,3,100,3,2,0,0,999,99,99.0,1,,
2020,67860,41,1,1,100,66,1,36,0,999,99,99.0,111,,
2009,62901,32,1,2,200,62,1,32,0,999,99,,73,19820.0,0.0
2020,65846,31,1,1,100,51,2,21,20,999,50,99.0,123,,
2022,60940,41,1,1,100,85,1,36,0,999,99,99.0,125,,
2020,20672,21,1,1,200,70,1,36,0,999,99,99.0,81,,
2019,30391,22,1,2,100,46,1,10,6050,40,12,,111,24000.0,0.0
2009,21625,21,1,2,100,60,1,10,800,40,11,,123,66000.0,6000.0
2020,35008,22,1,4,200,17,2,34,0,999,99,99.0,50,,
2012,14887,12,1,1,100,43,1,10,4400,40,11,,81,60000.0,0.0
2016,54358,32,1,1,651,32,1,10,710,40,11,,123,5625.0,0.0
2016,40636,31,1,1,100,54,1,10,9130,77,11,,73,60000.0,0.0
2020,64505,42,1,3,100,21,1,34,0,999,99,99.0,81,,
2021,42003,12,1,1,100,85,2,36,0,999,99,99.0,73,,
2012,17535,12,2,4,100,22,2,10,4010,50,11,,73,30000.0,0.0
2021,60509,33,1,2,100,55,1,10,3940,50,11,99.0,73,,
2020,68098,21,1,1,100,44,1,10,2320,40,11,99.0,111,,
2020,6971,42,1,1,100,66,1,34,0,999,99,99.0,111,,
2021,44120,31,1,5,200,5,1,0,0,999,99,99.0,1,,
2018,59535,33,1,2,200,2,1,0,0,999,99,,1,99999999.0,99999999.0
2020,19903,21,1,2,200,42,2,10,3601,40,11,,125,22000.0,0.0
2021,37329,11,1,2,100,62,2,10,2145,38,11,99.0,111,,
2015,65461,33,1,3,200,31,1,10,6260,40,11,,81,44000.0,0.0
2009,2851,11,1,2,100,38,2,10,2850,45,11,,92,46000.0,0.0
2010,59965,32,1,2,100,32,2,10,2330,40,11,,91,9000.0,0.0
2020,45758,31,1,2,200,33,1,10,6441,45,11,99.0,81,,
2012,62900,32,1,2,100,41,2,10,4920,30,14,,111,197000.0,0.0
2012,61942,32,1,1,100,57,1,10,4710,997,11,,111,55000.0,0.0
2020,7057,42,1,2,100,31,1,34,0,999,99,99.0,91,,
2022,12297,31,1,1,200,68,1,32,0,999,99,99.0,73,,
2021,25410,32,1,2,100,32,2,10,5000,40,11,99.0,111,,
2019,13998,31,1,2,100,55,2,10,5700,40,11,99.0,111,,
2021,10227,11,1,1,806,57,2,21,4760,999,50,99.0,124,,
2021,11386,31,1,1,803,31,2,10,440,40,11,99.0,124,,
2016,2904,11,1,1,100,47,2,21,3500,999,60,,91,25000.0,0.0
2020,25670,22,1,4,100,17,2,34,0,999,99,,60,0.0,0.0
2011,93280,42,1,3,100,46,2,10,5000,50,11,,111,23000.0,0.0
2021,54047,22,1,1,100,65,2,10,8030,39,11,99.0,73,,
2017,85783,42,1,2,651,9,1,0,0,999,99,,1,99999999.0,99999999.0
2017,90528,42,1,4,651,21,2,10,4720,997,41,,81,4244.0,1940.0
2012,93765,42,1,4,100,1,1,0,0,999,99,,1,99999999.0,99999999.0
2020,14955,31,1,3,100,10,1,0,0,999,99,99.0,1,,
2021,42545,12,1,1,100,80,1,36,0,999,99,99.0,111,,
2021,23261,22,1,2,100,68,1,10,440,45,11,99.0,73,,
2014,9885,12,1,1,100,34,1,10,6260,40,11,,73,36000.0,0.0
2020,63170,31,1,4,100,22,1,10,2006,10,41,99.0,81,,
2020,36899,22,1,6,100,24,2,34,0,999,99,99.0,73,,
2021,6790,42,1,4,100,20,2,34,0,999,99,99.0,73,,
2009,77305,41,1,1,100,18,2,10,6040,50,11,,50,5300.0,0.0
2021,39965,41,2,2,200,40,2,34,0,999,99,99.0,124,,
2020,50957,33,1,2,100,26,2,10,7300,40,11,99.0,73,,
2022,5336,42,1,1,100,71,1,36,0,999,99,99.0,111,,
2021,64738,42,1,3,100,2,2,0,0,999,99,99.0,1,,
2009,42329,31,1,1,200,62,2,36,0,999,99,,73,0.0,0.0
2021,21825,21,1,2,200,14,2,0,0,999,99,99.0,1,,
2010,18239,12,1,1,100,48,2,10,4800,50,11,,111,0.0,0.0
2021,53112,11,1,1,100,70,2,36,0,999,99,99.0,91,,
